::1 - - [08/Mar/2026:08:17:34 +0000] "GET /api/health HTTP/1.1" 200 50 "-" "Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.7705"
::1 - - [08/Mar/2026:08:19:26 +0000] "GET /api/visits?page=1&pageSize=5&date=2026-03-08 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:26 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:26 +0000] "GET /api/invoices?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:26 +0000] "GET /api/patients?page=1&pageSize=1 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:33 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 200 74 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:33 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 200 74 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/doctors?active=true HTTP/1.1" 200 11 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 200 75 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:36 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/ipd?q=&date=2026-03-08&page=1&pageSize=40 HTTP/1.1" 200 74 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:37 +0000] "GET /api/ipd?q=&date=2026-03-08&page=1&pageSize=40 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:45 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 200 74 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:45 +0000] "GET /api/visits?page=1&pageSize=100 HTTP/1.1" 200 75 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:45 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:45 +0000] "GET /api/visits?page=1&pageSize=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:50 +0000] "GET /api/visits?page=1&pageSize=100&date=2026-03-08&type=OPD&q= HTTP/1.1" 200 75 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:50 +0000] "GET /api/visits?page=1&pageSize=100&date=2026-03-08&type=OPD&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:58 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:19:58 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:04 +0000] "PUT /api/settings HTTP/1.1" 200 349 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:04 +0000] "GET /api/settings HTTP/1.1" 200 349 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:13 +0000] "POST /api/settings/logo HTTP/1.1" 200 378 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/settings HTTP/1.1" 200 378 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:25 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:26 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/auth/me HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:27 +0000] "GET /api/settings HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/invoices?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/visits?page=1&pageSize=5&date=2026-03-08 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/patients?page=1&pageSize=1 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/invoices?page=1&pageSize=5 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/patients?page=1&pageSize=1 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:33 +0000] "GET /api/visits?page=1&pageSize=5&date=2026-03-08 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:35 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:20:35 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:10 +0000] "POST /api/patients HTTP/1.1" 201 266 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:10 +0000] "GET /api/patients?page=1&pageSize=10&q= HTTP/1.1" 200 399 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 200 400 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:17 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:26 +0000] "GET /api/doctors?q= HTTP/1.1" 200 11 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:21:26 +0000] "GET /api/doctors?q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:11 +0000] "POST /api/doctors HTTP/1.1" 201 530 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:11 +0000] "GET /api/doctors?q= HTTP/1.1" 200 532 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/doctors?active=true HTTP/1.1" 200 532 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:16 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:46 +0000] "POST /api/visits HTTP/1.1" 201 648 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:46 +0000] "GET /api/visits?date=2026-03-08&q=&type=OPD&page=1&pageSize=50 HTTP/1.1" 200 792 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:46 +0000] "GET /api/doctors?active=true HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:46 +0000] "GET /api/patients?page=1&pageSize=200&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:56 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:56 +0000] "GET /api/visits?page=1&pageSize=100 HTTP/1.1" 200 793 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:56 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:22:56 +0000] "GET /api/visits?page=1&pageSize=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:23:05 +0000] "GET /api/visits?page=1&pageSize=100&date=2026-03-08&type=OPD&q= HTTP/1.1" 200 793 "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:23:05 +0000] "GET /api/visits?page=1&pageSize=100&date=2026-03-08&type=OPD&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:23:09 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:23:09 +0000] "GET /api/visits?page=1&pageSize=100 HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
::1 - - [08/Mar/2026:08:23:09 +0000] "GET /api/invoices?page=1&pageSize=30&q= HTTP/1.1" 304 - "http://localhost:5173/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/145.0.0.0 Safari/537.36"
